,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
2,3,Los Angeles Lakers,2001,West,1,82,56,26,242.7,37.9,81.5,0.465,5.4,15.5,0.344,32.6,66,0.494,19.4,28.5,0.683,13.2,31.5,23,6.9,6,14.4,22.8,100.6,0.682926829,0.085599721,0.124411931,0.036677041,0.146789146,0.0415165,0.056697535,-0.046454883,0.161409153,-0.036677041,0.520876823,0.046454883,0.520876823,-0.520876822,0.124411931,0.073313545,0.056697535,-0.10695069,0.099332492,-0.062043008,0.018033888,0.146789146,0.180601294
3,4,Dallas Mavericks,2001,West,1,82,53,29,241.5,37.6,81.9,0.459,6.3,16.5,0.381,31.3,65.4,0.479,18.9,23.8,0.794,10.1,31.4,21.2,7.5,6,13.9,23.3,100.5,0.646341463,-0.081873893,0.238745252,0.1037009,0.238745252,0.327676348,0.191083638,0.300825229,0.071258651,-0.138498158,0.205927485,0.040256918,-0.126565497,0.403154961,-0.327676348,0.126565497,-0.06080166,-0.092676983,0.221739204,-0.238745252,0.138498158,0.277723854,0.221739204
4,5,Toronto Raptors,2001,East,1,82,47,35,243.4,37.2,85,0.437,5.2,14.2,0.369,31.9,70.8,0.451,18.1,24.2,0.747,13.6,30.8,24.4,7.3,6.3,13.2,21.3,97.6,0.573170732,0.172577609,0.13814362,0.241710672,-0.054923974,0.040787957,0.054923974,0.13814362,0.084904722,0.186307225,-0.101188239,-0.013448317,-0.033861138,-0.027005799,0.270450958,0.033861138,0.219817169,-0.084904722,0.201804465,-0.780014543,-0.077134679,0.160158967,0.033861138
5,6,Orlando Magic,2001,East,1,82,43,39,243.4,36.7,83.8,0.438,6,16.4,0.364,30.8,67.4,0.456,18,25.2,0.714,13,29.9,22,8.2,5.9,15.2,25.3,97.5,0.524390244,0.325777223,0.191014488,0.241978225,-0.076996011,0.260775689,0.191014488,0.224190869,-0.103680772,0.076996011,-0.038143948,-0.063920155,0.076996011,-0.351694817,0.260775689,-0.103680772,0.050979234,0.17538675,0.207246954,0,0.510534146,0.260775689,-0.050979234
6,7,Minnesota Timberwolves,2001,West,1,82,47,35,241.8,38.4,83.8,0.458,3.9,11,0.357,34.5,72.8,0.473,16.6,21.2,0.785,12.2,30.1,25.4,8.3,5.6,13.9,23.2,97.3,0.573170732,0,0.51975222,0.085414906,0.085414906,-0.106719777,-0.106719777,0.046354584,0.51975222,0.180211365,0.07913622,-0.51975222,-0.180211365,0.124143319,0.022562915,-0.027178508,0.180211365,0.092050146,0.051397658,-0.106719777,0.036597853,0.073155257,0.022562915
7,8,Seattle SuperSonics,2001,West,0,82,44,38,241.5,36.9,81.1,0.456,5.7,14.3,0.399,31.3,66.8,0.468,17.7,24.2,0.732,12.2,29.5,21.9,8,5,15.3,21.1,97.3,0.536585366,-0.12738711,0.275451526,0.062635503,0.234689452,0.196922516,0.161347623,0.627266446,0.110870918,0.031191155,0.12738711,-0.178901182,-0.078535331,-0.275451526,0.078535331,-0.275451526,0.031191155,0.062635503,-0.110870918,0.078535331,-0.275451526,0.25463343,-0.031191155
8,9,Houston Rockets,2001,West,0,82,45,37,241.8,35.9,79.2,0.453,6.1,17.2,0.357,29.7,62,0.48,19.3,25.4,0.758,11.2,30.8,19.7,7.2,4.4,14.7,20.2,97.2,0.548780488,0,0.061705103,-0.074327836,0.154721753,0.291857455,0.339507389,0.126770608,-0.216421889,-0.367747986,0.314487928,0.100087879,0.126770608,0.024506848,-0.169309,0.061705103,-0.291857455,-0.184395183,-0.314487928,-0.087111129,-0.400572511,0.154721753,0
9,10,Utah Jazz,2001,West,1,82,53,29,241.2,36.1,76.7,0.471,4,10.4,0.381,32.1,66.3,0.485,20.9,27.8,0.752,11.5,29.1,25.7,8.1,5.6,15.8,25.7,97.1,0.646341463,-0.077267886,0.033107087,-0.112302316,0.470177361,-0.066177583,-0.112302316,0.121643746,0.066177583,-0.020410825,0.132501448,0.470177361,0.121643746,-0.00810638,-0.033107087,-0.08966398,0.470177361,0.028814635,0.046495261,0.071588072,0.470177361,0.041933205,0.08966398
10,11,Denver Nuggets,2001,West,0,82,40,42,241.2,36.3,83.9,0.433,6.2,17.6,0.355,30.1,66.3,0.454,17.7,24,0.737,12.7,31.5,24,6.7,6.6,13.9,22.2,96.6,0.487804878,-0.204756944,0.111121389,0.275665914,-0.135622101,0.297596844,0.351123772,0.065152424,-0.111121389,-0.054087906,-0.135622101,-0.123210665,-0.111121389,-0.161632489,0.189705653,0.175368065,0.297596844,-0.351123772,0.432003382,-0.255829063,-0.043137568,0.087732514,-0.087732514
11,12,San Antonio Spurs,2001,West,1,82,58,24,241.8,35.2,76.4,0.461,5.4,13.3,0.407,29.7,63,0.472,20.4,28.5,0.715,11,33.1,21.7,6.9,7,14,18.9,96.2,0.707317073,0,-0.024177589,-0.111178417,0.094229866,0.031444687,0,0.394513232,-0.060067634,-0.081004684,0.046991508,0.094229866,0.394513232,-0.081004684,-0.069869833,0.394513232,-0.006801846,-0.081004684,0.394513232,-0.060067634,-0.394513232,0.020629601,0.394513232
12,13,Detroit Pistons,2001,East,0,82,32,50,242.1,35.6,83.9,0.424,4.7,13.6,0.35,30.9,70.3,0.439,19.6,27.2,0.721,13.5,32,19.9,7.5,5.5,15.9,23.8,95.6,0.390243902,0.086225279,0,0.270930004,-0.379462166,0,0.031722107,0,-0.053158682,0.251433948,-0.345091504,0.186446531,0.216872002,-0.216872002,0.345091504,0.345091504,-0.201239242,-0.097602526,0.075045865,0.270930004,0.270930004,0.042396469,-0.133292128
13,14,Portland Trail Blazers,2001,West,1,82,50,32,241.2,36.6,78.3,0.468,4.5,12.9,0.349,32.1,65.4,0.492,17.6,23.2,0.762,11.7,30.3,23.9,8.2,5.1,15.3,21.3,95.4,0.609756098,-0.236369795,0.156561079,-0.254731583,0.498701284,-0.024798184,-0.075211442,-0.024798184,0.202443506,-0.171321739,0.498701284,-0.186587266,-0.218994704,0.156561079,-0.062438651,-0.049797667,0.295327046,0.171321739,-0.024798184,0.062438651,-0.142233416,0.024798184,0.156561079
14,15,Philadelphia 76ers,2001,East,1,82,56,26,242.1,35.4,79.1,0.447,3.2,9.8,0.326,32.2,69.3,0.464,20.7,27.8,0.745,13.1,31.7,20.6,8.4,5,15.8,20.4,94.7,0.682926829,0.076201657,-0.018658227,-0.086256307,0.056589312,-0.375224324,-0.375224324,-0.258483102,0.191660798,0.140388812,0.037467912,0.304974881,0.279984011,-0.066321841,0.222204944,0.222204944,-0.11779702,0.222204944,-0.066321841,0.164772264,-0.258483102,0,0.375224324
15,16,Boston Celtics,2001,East,0,82,36,46,241.8,33.8,79.1,0.428,7.2,19.9,0.363,26.6,59.2,0.45,19.8,26.7,0.74,10.9,28.9,20.8,9.4,4.1,15.7,23.8,94.6,0.43902439,0,-0.111443513,-0.037188914,-0.095802392,0.466581801,0.466581801,0.060527834,-0.466581801,-0.466581801,-0.07104062,0.082633458,0.07104062,-0.041612531,-0.103230859,-0.120713506,-0.037188914,0.131488177,-0.161775823,0.037188914,0.103230859,-0.008044388,-0.041612531
16,17,Phoenix Suns,2001,West,1,82,51,31,241.5,35.9,82.4,0.436,4,12.9,0.315,31.9,69.5,0.458,18.2,24.1,0.755,11.8,30.8,23.2,9.5,5.2,15.2,22.7,94,0.62195122,-0.115292283,0.071078759,0.178225618,-0.1460284,-0.230457143,-0.085619018,-0.567710347,0.178225618,0.249298656,0,0,-0.115292283,0,-0.028229696,0.071078759,0.249298656,0.567710347,0,0,0,-0.056688546,0.212406755
17,18,Washington Wizards,2001,East,0,82,19,63,240,34.5,78.7,0.439,3.4,10.3,0.324,31.2,68.4,0.456,20.8,27.4,0.759,12.4,28.9,20.1,7.7,4.7,17,23.3,93.2,0.231707317,-0.615047059,-0.08656803,-0.079787652,-0.015932907,-0.159124267,-0.173327414,-0.173327414,0.021294266,0.054853543,-0.015932907,0.213252519,0.126286493,0.037692918,0.049022341,-0.159124267,-0.079787652,-0.021294266,-0.079787652,0.615047059,0.073259872,-0.032161597,-0.173327414
18,19,Indiana Pacers,2001,East,1,82,41,41,243.7,34.5,78.4,0.44,4.8,14.1,0.342,29.7,64.3,0.461,18.8,24.5,0.766,11.2,31.6,21.5,6.9,5.9,15.2,23.5,92.6,0.5,0.466656501,-0.233070655,-0.252125841,0,0.042896818,0.086589985,-0.214815566,-0.252125841,-0.293269258,0.028549837,0.028549837,-0.028549837,0.252125841,-0.197240557,0.293269258,-0.057331426,-0.340006303,0.233070655,0,0.272129564,-0.116599762,-0.086589985
19,20,Golden State Warriors,2001,West,0,82,17,65,241.2,35.8,87.5,0.409,3.4,11.8,0.293,32.4,75.7,0.427,17.4,24.7,0.706,16.4,29.1,21.8,9,5,15.9,21.1,92.5,0.207317073,-0.06413805,0.006728894,0.390281923,-0.390281923,-0.10097329,-0.042482257,-0.390281923,0.086349571,0.390281923,-0.390281923,-0.069120452,0,-0.109985984,0.390281923,-0.074427723,0,0.093219213,-0.023918275,0.086349571,-0.059423385,-0.038594499,-0.135320707
20,21,Los Angeles Clippers,2001,West,0,82,31,51,244.3,35.3,78.9,0.448,4.4,13,0.339,30.9,65.9,0.469,17.4,25.1,0.693,11.7,31.2,19.3,6,6.3,15.8,21.6,92.5,0.37804878,0.279056975,-0.02786515,-0.087606474,0.056671709,-0.034938633,-0.02786515,-0.122542295,-0.034938633,-0.071779991,0.071779991,-0.142539486,0.02786515,-0.279056975,-0.034938633,0.071779991,-0.226811969,-0.804835377,0.208226082,0.122542295,-0.04208587,-0.079589181,-0.104408149
